DocType: Item,Standard Selling Rate,Precio de venta estándar
DocType: Contact Us Settings,Contact Us Settings,Configuración de contacto
DocType: Property Setter,Property Type,Tipo de propiedad
DocType: Custom Field,Insert After,Insertar después
DocType: DocType,Image Field,Campo de imagen
apps/frappe/frappe/public/js/frappe/views/treeview.js +235,Group Node,Grupo
DocType: Item Attribute,From Range,Desde
DocType: Item Attribute,To Range,Hasta
DocType: Item,Barcode,Código de barras
DocType: Purchase Invoice Item,Valuation Rate,Precio de compra
apps/frappe/frappe/core/doctype/communication/communication.js +19,Make,Crear
